,latitud,longitud,calle,accesibilidad
102,41.379876921889284,2.1905237248723224,carrer de la vila joiosa,no
103,41.379890979445136,2.190351096752528,carrer de guitert,no
104,41.381321680794166,2.1892032895988933,carrer de l'atlantida,no
105,41.38115139349918,2.1885216071527878,carrer del baluard,no
106,41.381072904468084,2.1883687212413943,carrer de monjo,no
107,41.38107009378939,2.188173478815451,carrer dels magatzems,no
108,41.38108015649143,2.187988406396396,carrer de paderes,no
109,41.38103322488598,2.1878111134158713,carrer de sant miquel,no
110,41.38100454616045,2.187640122593918,carrer del rector bruguera,no
111,41.380988266628734,2.1874798317876354,carrer del mar,no
112,41.38200698578538,2.1889306170453158,carrer de la mediterranea,no
113,41.383166190428966,2.1846573625032892,carrer del general castaños,media
114,41.38494385266068,2.1825134860865782,carrer de les mosques,no
115,41.38916661474935,2.1798859035917477,carrer dels ocells,no
116,41.38875042535157,2.1795632947289745,carrer de la sequia,media
117,41.3859696282208,2.186274430305863,passeig dels til-lers,media (superficie)
118,41.38699920861506,2.188582756570084,plaça de joan fiveller,media (superficie)
