FID,CODI_ACCES,NOM_ACCES,CODI_GRUP_ESTACIO,NOM_ESTACIO,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,NUM_ASCENSORS,DATA,GEOMETRY
ACCESSOS.21501,21501,Marina,6660215,Monumental,1,Accessible,1,2021-07-21,POINT (2.1794426659464428 41.400346419666555)
ACCESSOS.21502,21502,Marina / Plaça de Toros,6660215,Monumental,3,No accessible,0,2021-07-21,POINT (2.1796250007835867 41.400487641404595)
ACCESSOS.21601,21601,Mallorca - Marina,6660216,Sagrada Família,1,Accessible,1,2021-07-21,POINT (2.1757445241234667 41.40387144931647)
ACCESSOS.52301,52301,Provença / Avinguda Gaudí,6660216,Sagrada Família,1,Accessible,1,2021-07-21,POINT (2.174221777749295 41.40449738730942)
ACCESSOS.52311,52311,Sardenya,6660216,Sagrada Família,3,No accessible,0,2021-07-21,POINT (2.173067528902316 41.40369029202803)
ACCESSOS.52312,52312,Plaça de la Sagrada Família,6660216,Sagrada Família,3,No accessible,0,2021-07-21,POINT (2.1734080685960047 41.40342879035008)
ACCESSOS.21701,21701,València / Mallorca,6660217,Encants,3,No accessible,0,2021-07-21,POINT (2.182130972160925 41.4070649275865)
ACCESSOS.21702,21702,València / Aragó,6660217,Encants,1,Accessible,1,2021-07-21,POINT (2.1824666169343687 41.40682787383308)
ACCESSOS.21901,21901,Fluvià,6660219,Bac de Roda,1,Accessible,1,2021-07-21,POINT (2.19625432577836 41.415716692237105)
ACCESSOS.21911,21911,Bac de Roda,6660219,Bac de Roda,3,No accessible,0,2021-07-21,POINT (2.19507920707105 41.41484254892016)
ACCESSOS.22001,22001,Agricultura,6660220,Sant Martí,1,Accessible,1,2021-07-21,POINT (2.199980917665574 41.41851943580219)
ACCESSOS.22011,22011,Cantàbria,6660220,Sant Martí,3,No accessible,0,2021-07-21,POINT (2.201155132701335 41.419396999382336)
ACCESSOS.41301,41301,Rambla Guipúscoa / Ca n'Oliva,6660221,La Pau,2,Semi-accessible,1,2021-07-21,POINT (2.206081807312939 41.423437655063076)
ACCESSOS.22201,22201,Santander,6660222,Verneda,1,Accessible,1,2021-07-21,POINT (2.209686267795912 41.43017922494413)
ACCESSOS.22202,22202,Ctra. Mataró,6660222,Verneda,3,No accessible,0,2021-07-21,POINT (2.210155420418272 41.42994281851601)
ACCESSOS.22301,22301,Ctra. Santa Coloma,6660223,Artigues | Sant Adrià,1,Accessible,1,2021-07-21,POINT (2.216873425614306 41.4336045560403)
ACCESSOS.22302,22302,Avinguda Joan XXIII,6660223,Artigues | Sant Adrià,3,No accessible,0,2021-07-21,POINT (2.2172876618273887 41.43336328843553)
ACCESSOS.22401,22401,Plaça Sant Roc,6660224,Sant Roc,3,No accessible,0,2021-07-21,POINT (2.227755552909284 41.43534005959227)
ACCESSOS.22402,22402,Alfons XII,6660224,Sant Roc,1,Accessible,1,2021-07-21,POINT (2.2281057739536 41.435141100131624)
ACCESSOS.22501,22501,Avinguda Alfons XIII,6660225,Gorg,3,No accessible,0,2021-07-21,POINT (2.2333532563002123 41.44033957881192)
ACCESSOS.22502,22502,Guifré,6660225,Gorg,1,Accessible,1,2021-07-21,POINT (2.2339062487522385 41.4401428976177)
ACCESSOS.93601,93601,Antoni Bori,6660225,Gorg,1,Accessible,1,2021-07-21,POINT (2.23471701814955 41.44005519720216)
ACCESSOS.22601,22601,Avinguda Alfons XIII,6660226,Pep Ventura,1,Accessible,1,2021-07-21,POINT (2.2378352491732425 41.444357052633926)
ACCESSOS.22602,22602,Avinguda Marquès de Mont-roig,6660226,Pep Ventura,3,No accessible,0,2021-07-21,POINT (2.238393722342466 41.444449219335134)
ACCESSOS.22603,22603,Plaça Països Catalans,6660226,Pep Ventura,3,No accessible,0,2021-07-21,POINT (2.2385984811046007 41.44428472833211)
ACCESSOS.22701,22701,Avinguda Martí Pujol,6660227,Badalona Pompeu Fabra,1,Accessible,1,2021-07-21,POINT (2.2451936803320884 41.449727273251206)
ACCESSOS.22711,22711,La Creu,6660227,Badalona Pompeu Fabra,1,Accessible,1,2021-07-21,POINT (2.244442515758089 41.448890076203675)
ACCESSOS.31401,31401,Avinguda Diagonal,6660314,Zona Universitària,3,No accessible,0,2021-07-21,POINT (2.111519763105392 41.38414166721358)
ACCESSOS.31402,31402,Facultat d'Estudis Empresarials,6660314,Zona Universitària,3,No accessible,0,2021-07-21,POINT (2.1116556097053945 41.384535199501684)
ACCESSOS.31403,31403,Dr. Marañón / Diagonal,6660314,Zona Universitària,3,No accessible,0,2021-07-21,POINT (2.111847797786282 41.38422099581956)
ACCESSOS.31404,31404,Parc Cervantes,6660314,Zona Universitària,3,No accessible,0,2021-07-21,POINT (2.111419051992819 41.38447460030893)
ACCESSOS.91801,91801,Dr. Marañón,6660314,Zona Universitària,1,Accessible,1,2021-07-21,POINT (2.111956267171571 41.38403328719203)
ACCESSOS.31501,31501,Avda. Diagonal,6660315,Palau Reial,1,Accessible,1,2021-07-21,POINT (2.1180811742275276 41.38559335093526)
ACCESSOS.31503,31503,Avda. Diagonal,6660315,Palau Reial,3,No accessible,0,2021-07-21,POINT (2.1177205117040354 41.38606988668554)
ACCESSOS.31504,31504,Palau de Pedralbes,6660315,Palau Reial,3,No accessible,0,2021-07-21,POINT (2.1179574800801126 41.38612839534157)
ACCESSOS.31602,31602,Av. Diagonal / Doctor Ferran,6660316,Maria Cristina,3,No accessible,0,2021-07-21,POINT (2.1262673940146266 41.38823250766679)
ACCESSOS.31603,31603,Gran Via Carles III,6660316,Maria Cristina,1,Accessible,1,2021-07-21,POINT (2.1267962626212245 41.38778680149168)
ACCESSOS.31604,31604,Capità Arenas,6660316,Maria Cristina,3,No accessible,0,2021-07-21,POINT (2.126507473376655 41.38829387770927)
ACCESSOS.31701,31701,Travessera de les Corts,6660317,Les Corts,1,Accessible,1,2021-07-21,POINT (2.1306163098020594 41.38389819447068)
ACCESSOS.31702,31702,Joan Güell,6660317,Les Corts,3,No accessible,0,2021-07-21,POINT (2.13063682526045 41.384391195568035)
ACCESSOS.31801,31801,Plaça del Centre (mar),6660318,Plaça del Centre,1,Accessible,1,2021-07-21,POINT (2.1359254828961993 41.38166984558516)
ACCESSOS.31802,31802,Plaça del Centre (muntanya),6660318,Plaça del Centre,3,No accessible,0,2021-07-21,POINT (2.1356282416543526 41.38211182070539)
ACCESSOS.31901,31901,Pl. Països Catalans / Numància / Ambulatori,6660319,Sants Estació,1,Accessible,1,2021-07-21,POINT (2.1416637385998203 41.380945544078244)
ACCESSOS.31902,31902,Av. Josep Tarradellas,6660319,Sants Estació,3,No accessible,0,2021-07-21,POINT (2.141980107891972 41.381082393091525)
ACCESSOS.31911,31911,Numància,6660319,Sants Estació,3,No accessible,0,2021-07-21,POINT (2.1401532025848993 41.38239180932638)
ACCESSOS.31912,31912,Enric Bargés,6660319,Sants Estació,3,No accessible,0,2021-07-21,POINT (2.1399637818783854 41.38207238425652)
ACCESSOS.51801,51801,Estació RENFE / Pl. Joan Peiró,6660319,Sants Estació,1,Accessible,0,2021-07-21,POINT (2.139573249095389 41.379510456536)
ACCESSOS.51802,51802,Estació RENFE / Pl. Països Catalans,6660319,Sants Estació,1,Accessible,0,2021-07-21,POINT (2.139922982410696 41.37972017015965)
ACCESSOS.32001,32001,Elisi,6660320,Tarragona,3,No accessible,0,2021-07-21,POINT (2.144758837715334 41.37861477049398)
ACCESSOS.32002,32002,València,6660320,Tarragona,3,No accessible,0,2021-07-21,POINT (2.145124924810331 41.37889806422128)
ACCESSOS.32003,32003,Tarragona,6660320,Tarragona,3,No accessible,0,2021-07-21,POINT (2.1457621589406712 41.37785909059328)
ACCESSOS.32004,32004,Aragó,6660320,Tarragona,1,Accessible,1,2021-07-21,POINT (2.1460840976162405 41.37824459551975)
ACCESSOS.32201,32201,Manso,6660322,Poble Sec,3,No accessible,0,2021-07-21,POINT (2.1589105615673567 41.375148900053986)
ACCESSOS.32202,32202,Teodor Bonaplata,6660322,Poble Sec,3,No accessible,0,2021-07-21,POINT (2.1589530430727173 41.37487439933379)
ACCESSOS.32211,32211,Parlament,6660322,Poble Sec,3,No accessible,0,2021-07-21,POINT (2.1613537076639973 41.37511682504786)
ACCESSOS.32401,32401,La Rambla,6660324,Drassanes,1,Accessible,1,2021-07-21,POINT (2.1765218563885598 41.37694607663264)
ACCESSOS.32403,32403,Santa Madrona,6660324,Drassanes,3,No accessible,0,2021-07-21,POINT (2.175960940811018 41.37708037518559)
ACCESSOS.32411,32411,Drassanes,6660324,Drassanes,1,Accessible,1,2021-07-21,POINT (2.1755586309970667 41.376587278422946)
ACCESSOS.32501,32501,La Rambla / Mercat de la Boqueria,6660325,Liceu,3,No accessible,0,2021-07-21,POINT (2.172468919735155 41.38201978420304)
ACCESSOS.32511,32511,La Rambla / Mercat de la Boqueria,6660325,Liceu,3,No accessible,0,2021-07-21,POINT (2.1726208975248023 41.382015408634224)
ACCESSOS.32521,32521,La Rambla / Teatre Liceu,6660325,Liceu,1,Accessible,1,2021-07-21,POINT (2.1735592931120378 41.380925407683605)
ACCESSOS.32531,32531,La Rambla / Teatre Liceu,6660325,Liceu,1,Accessible,1,2021-07-21,POINT (2.1734448589745035 41.380864515158784)
ACCESSOS.32801,32801,Pg. de Gràcia / Rambla Catalunya,6660328,Diagonal,1,Accessible,1,2021-07-21,POINT (2.160637849458869 41.39543592300068)
ACCESSOS.32802,32802,Pg. de Gràcia / Pau Claris ,6660328,Diagonal,3,No accessible,0,2021-07-21,POINT (2.1608068488020344 41.39563603149648)
ACCESSOS.32803,32803,Pg. de Gràcia (escala mecànica),6660328,Diagonal,3,No accessible,0,2021-07-21,POINT (2.160571363558969 41.39535970323131)
ACCESSOS.32811,32811,Diagonal / Rambla Catalunya,6660328,Diagonal,3,No accessible,0,2021-07-21,POINT (2.1598606559043443 41.396071580714604)
ACCESSOS.32812,32812,Diagonal / Pau Claris,6660328,Diagonal,3,No accessible,0,2021-07-21,POINT (2.1601035461905296 41.396215788271924)
ACCESSOS.52101,52101,Rambla Catalunya,6660328,Diagonal,1,Accessible,1,2021-07-21,POINT (2.1591010125461674 41.39440990660634)
ACCESSOS.52111,52111,Rosselló / FGC,6660328,Diagonal,3,No accessible,0,2021-07-21,POINT (2.158879879524316 41.39424605733008)
ACCESSOS.32901,32901,Gran de Gràcia / Astúries,6660329,Fontana,1,Accessible,0,2021-07-21,POINT (2.152678107276927 41.40258457283935)
ACCESSOS.33001,33001,Septimània,6660330,Lesseps,3,No accessible,0,2021-07-21,POINT (2.1496107068433012 41.40620648074976)
ACCESSOS.33011,33011,Plaça Lesseps,6660330,Lesseps,1,Accessible,1,2021-07-21,POINT (2.1502205519817297 41.40667385083013)
ACCESSOS.33101,33101,Avinguda República Argentina,6660331,Vallcarca,3,No accessible,0,2021-07-21,POINT (2.1450426298249528 41.411410197592765)
ACCESSOS.33102,33102,Gomis,6660331,Vallcarca,3,No accessible,0,2021-07-21,POINT (2.14455304549195 41.41178187582593)
ACCESSOS.33103,33103,Avinguda Vallcarca + Parc Güell,6660331,Vallcarca,3,No accessible,0,2021-07-21,POINT (2.145264829649735 41.41169620434433)
